Year,ServicesIndex,AppliestoAllIndex,ResidentIndex,PaymentOutwardsIndex,ExchangeRateMeasuresIndex,NonResidentIndex,PaymentInwardsIndex,FinancialSectorIndex,CapitalAccountIndex,TradeInwardsIndex,TradeOutwardsIndex,GoodsIndex,ddExchangeRateMeasures,ddServices,ddGoods,ddFinancialSector,ddCapitalAccount,ddAppliestoAll,ddResident,ddNonResident,ddPaymentInwards,ddPaymentOutwards,ddTradeInwards,ddTradeOutwards,TotWeight,TotalIndex
2010,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.56,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.400000000000006,252.48,410.72,14.24,0.0,2297.68,293.29
2011,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.56,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.400000000000006,252.48000000000002,410.71999999999997,14.24,0.0,2297.68,293.29
2012,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.56,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.4,252.48000000000002,410.71999999999997,14.24,0.0,2297.68,293.29
2013,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.56,10.68,83.01,5.76,147.04,282.0,18.08,182.32,162.4,772.24,50.4,252.48,410.71999999999997,14.24,0.0,2297.68,293.29
2014,3.8,19.48,53.349999999999994,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.56,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.4,252.48,410.71999999999997,14.239999999999998,0.0,2297.68,293.29
2015,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.56,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.400000000000006,252.48,410.72,14.239999999999998,0.0,2297.68,293.29
2016,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.56,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.400000000000006,252.48,410.71999999999997,14.24,0.0,2297.68,293.29
2017,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.5600000000000005,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.4,252.48000000000002,410.71999999999997,14.24,0.0,2297.68,293.29
2018,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.56,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.400000000000006,252.48,410.71999999999997,14.24,0.0,2297.68,293.29
2019,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.56,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.4,252.48000000000002,410.71999999999997,14.24,0.0,2297.68,293.29
2020,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.56,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.4,252.48000000000002,410.72,14.24,0.0,2297.68,293.29
2021,3.8,19.48,53.35,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.5600000000000005,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.400000000000006,252.48000000000002,410.72,14.24,0.0,2297.68,293.29
2022,3.8,19.48,53.349999999999994,6.4,0.18,3.8,89.17,10.959999999999999,5.9,6.5600000000000005,10.68,83.01,5.76,147.04,282.0,18.080000000000002,182.32,162.4,772.24,50.4,252.48,410.72,14.24,0.0,2297.68,293.29
